SchoolName,District,CountyName,Rate_LI,Rate_Sped,chronicabsenteeismrate,predicted,residual,residual_z
Highland Elementary,Vallejo City Unified,Solano,88.0392156862745,11.176470588235295,45.7,23.0324296545547,22.667570345445302,2.7793743612131214
Toyon Middle,Calaveras Unified,Calaveras,57.279693486590034,18.96551724137931,43.5,20.773397203116954,22.726602796883046,2.78661259978502
Grant Elementary,West Contra Costa Unified,Contra Costa,78.94736842105263,17.422867513611614,44.0,23.456481496873103,20.543518503126897,2.5189346606867926
El Dorado Elementary,Stockton Unified,San Joaquin,88.98916967509025,17.689530685920577,47.1,25.63949722226713,21.46050277773287,2.631370292015386
Carmichael (Bessie)/FEC,San Francisco Unified,San Francisco,78.01801801801803,20.36036036036036,58.6,24.40468344090697,34.19531655909303,4.192843991195854
Burns Valley,Konocti Unified,Lake,84.50704225352112,11.267605633802818,50.0,22.217645945312658,27.782354054687342,3.406521359677134
Jacob Wiens Elementary,Hemet Unified,Riverside,96.89655172413794,12.586206896551724,45.7,25.295304212508427,20.404695787491576,2.5019129732844494
Deborah A. Williams Elementary,Fresno Unified,Fresno,96.04810996563576,17.010309278350515,53.6,26.837523677919528,26.762476322080474,3.281469491374483
Obsidian Middle,Konocti Unified,Lake,77.79661016949152,14.576271186440678,45.3,23.198958499621682,22.101041500378315,2.7099096712233868
California City High,Mojave Unified,Kern,81.12582781456953,18.874172185430464,51.0,29.83117978784584,21.16882021215416,2.595605760041838
Rockwood Elementary,Calexico Unified,Imperial,94.48946515397084,14.424635332252835,58.7,25.391993408772084,33.30800659122792,4.08404686218954
Barstow Junior High,Barstow Unified,San Bernardino,82.50773993808049,24.76780185758514,66.2,30.216162691989787,35.983837308010216,4.412142691421878
Enterprise Elementary,Eastside Union Elementary,Los Angeles,85.29411764705883,10.68111455108359,42.7,22.03416957199769,20.665830428002312,2.533931884601338
Cabot Yerxa Elementary,Palm Springs Unified,Riverside,94.7289156626506,7.228915662650602,44.4,22.647421233796372,21.752578766203627,2.6671830633671565
Pomo,Konocti Unified,Lake,86.32478632478633,15.242165242165242,44.5,23.899970125338196,20.600029874661804,2.525863778133765
Castlemont High,Oakland Unified,Alameda,99.02642559109874,19.19332406119611,58.2,33.543260768109164,24.65673923189084,3.0232754462811324
Mesa Linda Middle,Adelanto Elementary,San Bernardino,75.23809523809524,18.503401360544217,47.2,24.075350009337072,23.12464999066293,2.8354189847695905
John F. Kennedy High,West Contra Costa Unified,Contra Costa,70.8108108108108,12.702702702702704,49.8,25.179975240268078,24.62002475973192,3.0187737171125946
Columbia Middle,Adelanto Elementary,San Bernardino,74.53580901856765,18.43501326259947,55.8,23.903364072424054,31.896635927575943,3.9109922570006397
Greer Elementary,San Juan Unified,Sacramento,82.28346456692913,11.15485564304462,41.9,21.47595203422091,20.42404796577909,2.5042858322784327
Cesar Chavez Elementary,Calexico Unified,Imperial,79.08496732026144,12.679738562091504,42.1,21.405728141361887,20.694271858638114,2.5374192183517437
Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,97.53810082063306,17.23329425556858,52.8,32.35523528705042,20.444764712949578,2.506826007297453
Lime Street Elementary,Hesperia Elementary,San Bernardino,87.37316798196166,15.783540022547914,48.7,24.208565072418022,24.49143492758198,3.0030067303052923
Lime Street Elementary,Hesperia Elementary,San Bernardino,87.37316798196166,15.783540022547914,48.7,24.208565072418022,24.49143492758198,3.0030067303052923
Lime Street Elementary,Hesperia Unified,San Bernardino,87.37316798196166,15.783540022547914,48.7,24.208565072418022,24.49143492758198,3.0030067303052923
Lime Street Elementary,Hesperia Unified,San Bernardino,87.37316798196166,15.783540022547914,48.7,24.208565072418022,24.49143492758198,3.0030067303052923
Augustus Hawkins High,Los Angeles Unified,Los Angeles,98.66310160427808,12.210338680926917,54.8,30.637746312899665,24.162253687100332,2.962644314481981
Atascadero High,Atascadero Unified,San Luis Obispo,45.203111495246326,15.81676750216076,49.6,20.96759406804251,28.632405931957493,3.5107501039748423
Barstow High,Barstow Unified,San Bernardino,69.76893453145058,18.035943517329912,55.9,26.797713050560404,29.102286949439595,3.568364362270192
