SchoolCode,SchoolName,DistrictCode,CountyName,District,GSserved,Virtual,SOC,VirtStat,TA,SG_SD,SG_DS,ChronicAbsenteeismCount,chronicabsenteeismrate,Cnty_Sch_Cnt,ENR_decile,ENR_quartile,Rate_Sped,Rate_LI
0125096,Academy for Enriched Sciences,64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,291.0,90.0,51.0,20.0,6.9,1598,2,1,17.525773195876287,30.927835051546392
6050280,Fall River Elementary,69989,Shasta,Fall River Joint Unified,K-6,N,60,0,292.0,166.0,38.0,46.0,15.9,57,2,1,13.013698630136986,56.849315068493155
6052286,Prestwood Elementary,70953,Sonoma,Sonoma Valley Unified,K-5,N,60,0,292.0,104.0,70.0,64.0,21.9,103,2,1,23.972602739726025,35.61643835616438
6028641,Merton E. Hill Elementary,66522,Orange,Garden Grove Unified,K-7,N,60,0,292.0,248.0,88.0,36.0,12.5,547,2,1,30.136986301369863,84.93150684931507
6005516,Gold Trail,61887,El Dorado,Gold Trail Union Elementary,4-8,N,60,0,292.0,117.0,58.0,46.0,16.0,48,2,1,19.863013698630137,40.06849315068493
0101188,Hunt Elementary,73601,Stanislaus,Newman-Crows Landing Unified,K-5,N,60,0,292.0,234.0,77.0,50.0,17.7,151,2,1,26.36986301369863,80.13698630136986
6002307,Wildwood Elementary,61275,Alameda,Piedmont City Unified,K-5,N,60,0,292.0,12.0,41.0,11.0,3.8,296,2,1,14.04109589041096,4.10958904109589
6024814,Laurel Dell Elementary,65458,Marin,San Rafael City Elementary,K-5,N,60,0,293.0,275.0,25.0,24.0,8.2,65,2,1,8.532423208191126,93.85665529010238
6041123,Guadalupe Elementary,68478,San Francisco,San Francisco Unified,K-5,N,60,0,293.0,220.0,49.0,88.0,30.9,95,2,1,16.723549488054605,75.0853242320819
6041511,Redding Elementary,68478,San Francisco,San Francisco Unified,K-5,N,60,0,293.0,218.0,38.0,126.0,47.2,95,2,1,12.969283276450511,74.40273037542661
0121798,Primary Years Academy,68676,San Joaquin,Stockton Unified,K-6,N,60,0,293.0,174.0,34.0,63.0,21.6,183,2,1,11.604095563139932,59.38566552901023
6016166,Buchanan Street Elementary,64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,293.0,199.0,67.0,64.0,22.2,1598,2,1,22.866894197952217,67.91808873720136
6021034,La Pluma Elementary,64840,Los Angeles,Norwalk-La Mirada Unified,K-5,N,60,0,293.0,165.0,50.0,54.0,19.3,1598,2,1,17.064846416382252,56.31399317406144
6016612,Compton Avenue Elementary,64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,293.0,284.0,55.0,66.0,23.2,1598,2,1,18.771331058020476,96.9283276450512
6012413,Washington Elementary,73437,Los Angeles,Compton Unified,K-6,C,60,0,293.0,269.0,59.0,11.0,3.9,1598,2,1,20.13651877133106,91.80887372013652
6007736,Cutten Elementary,62745,Humboldt,Cutten Elementary,3-6,N,60,0,293.0,141.0,66.0,30.0,10.3,71,2,1,22.525597269624573,48.122866894197955
6006902,Laton Elementary,62281,Fresno,Laton Joint Unified,K-5,N,60,0,293.0,257.0,36.0,33.0,11.5,292,2,1,12.286689419795222,87.71331058020478
